--------------------------------------------------------------------------------------------------------------------------------
+ Test Active Link              + Test Form                      3/12/2001  5:05:37 PM    Gain Focus; Lose Fo     0  Yes
CHG:CHG-AssignInd03             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 3  Yes
CHG:CHG-AssignInd04             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 4  Yes
CHG:CHG-AssignInd04a            CHG:Change                       1/11/2001 10:36:51 PM    Return;                 4  Yes
CHG:CHG-AssignInd04b            CHG:Change                       1/11/2001 10:36:51 PM    Menu Choice;            4  Yes
CHG:CHG-AssignInd05             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 5  Yes
CHG:CHG-AssignInd06             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 6  Yes
CHG:CHG-AssignInd07             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 7  Yes
CHG:CHG-AssignInd07a            CHG:Change                       1/11/2001 10:36:51 PM    Return;                 7  Yes
CHG:CHG-AssignInd07b            CHG:Change                       1/11/2001 10:36:51 PM    Menu Choice;            7  Yes
CHG:CHG-AssignInd08             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 8  Yes
CHG:CHG-AutoCreateTasks01       CHG:Change                       1/11/2001 10:36:51 PM    None;                   1  Yes
CHG:CHG-AutoCreateTasks02       CHG:Change                       1/11/2001 10:36:51 PM    None;                   2  Yes
CHG:CHG-AutoCreateTasks03       CHG:Change                       1/11/2001 10:36:51 PM    None;                   3  Yes
CHG:CHG-AutoCreateTasks04       CHG:Change                       1/11/2001 10:36:51 PM    None;                   4  Yes
CHG:CHG-ChgFlagResetOpen        CHG:Change                       1/11/2001 10:36:51 PM    Display; Window Ope  1000  Yes
CHG:CHG-ChkChangeInStatus01     CHG:Change                       1/11/2001 10:36:51 PM    Button;                14  Yes
CHG:CHG-ChkChangeInStatus02     CHG:Change                       1/11/2001 10:36:51 PM    Button;                14  Yes
CHG:CHG-ChkChangeInStatus03     CHG:Change                       1/11/2001 10:36:51 PM    Button;                14  Yes
CHG:CHG-cmdCancelEn-Disable01   CHG:Change                       1/11/2001 10:36:54 PM    Menu Choice;           10  Yes
CHG:CHG-cmdCancelTask01         CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdCancelTask02         CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-cmdCancelTask03         CHG:Change                       1/11/2001 10:36:54 PM    Button;                13  Yes
CHG:CHG-cmdClose                CHG:Change                       1/11/2001 10:36:54 PM    Button;                 0  Yes
CHG:CHG-cmdCreateNewTask01      CHG:Change                       1/11/2001 10:36:54 PM    Button;                10  Yes
CHG:CHG-cmdCreateNewTask02      CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdCreateNewTask03      CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  No 
CHG:CHG-cmdCreateNewTask04      CHG:Change                       1/11/2001 10:36:54 PM    Button;                15  Yes
CHG:CHG-cmdCreatePredefined01   CHG:Change                       1/11/2001 10:36:54 PM    Button;                10  Yes
CHG:CHG-cmdCreatePredefined02   CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdCreatePredefined03   CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-cmdDetails00            CHG:Change                       1/11/2001 10:36:54 PM    Button;                 9  Yes
CHG:CHG-cmdDetails01            CHG:Change                       1/11/2001 10:36:54 PM    Button;                10  Yes
CHG:CHG-cmdDetails01-macro      CHG:Change                       1/11/2001 10:36:54 PM    Button;                10  No 
CHG:CHG-cmdDetails02            CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdDetails03            CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-cmdDetails04            CHG:Change                       1/11/2001 10:36:54 PM    Button;                15  Yes
CHG:CHG-cmdModify01             CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdModify02             CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-cmdProfile01            CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdProfile02a           CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-cmdProfile02b           CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-cmdProfile02c           CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-cmdReqReqassignment01   CHG:Change                       1/11/2001 10:36:54 PM    Button;                10  Yes
CHG:CHG-cmdReqReqassignment02   CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdSave01               CHG:Change                       1/11/2001 10:36:54 PM    Button;                11  Yes
CHG:CHG-cmdSave02               CHG:Change                       1/11/2001 10:36:54 PM    Button;                12  Yes
CHG:CHG-ConfirmResolvedHide     CHG:Change                       1/11/2001 10:36:51 PM    After Modify; Displ     0  Yes
CHG:CHG-ConfirmResolvedShow     CHG:Change                       1/11/2001 10:36:51 PM    Display;                0  Yes
CHG:CHG-CpShrtDesc              CHG:Change                       1/11/2001 10:36:51 PM    Lose Focus;             0  Yes
CHG:CHG-CreateNewTask00         CHG:Change                       1/11/2001 10:36:51 PM    None;                   0  Yes
CHG:CHG-CreateNewTask01         CHG:Change                       1/11/2001 10:36:51 PM    None;                   1  Yes
CHG:CHG-CreateNewTask02         CHG:Change                       1/11/2001 10:36:51 PM    None;                   2  Yes
CHG:CHG-CreateNewTask03         CHG:Change                       1/11/2001 10:36:51 PM    None;                   3  Yes
CHG:CHG-GetInfoFromTemplate01   CHG:Change                       1/11/2001 10:36:51 PM    Menu Choice;            1  Yes
CHG:CHG-HideStatusOnSubmit01    CHG:Change                       1/11/2001 10:36:51 PM    Window Open;            0  Yes
CHG:CHG-HideStatusOnSubmit02    CHG:Change                       1/11/2001 10:36:51 PM    Window Open;            1  Yes
CHG:CHG-lblNoTasksEnable01      CHG:Change                       1/11/2001 10:36:54 PM    Display;               20  Yes
CHG:CHG-lblNoTasksEnable02      CHG:Change                       1/11/2001 10:36:55 PM    Display;               21  Yes
CHG:CHG-lblNoTasksEnable03      CHG:Change                       1/11/2001 10:36:55 PM    Display;               22  No 
CHG:CHG-ListGroupsOpenChgns01   CHG:Change                       1/11/2001 10:36:51 PM    None;                   1  Yes
CHG:CHG-ListGroupsOpenChgns02   CHG:Change                       1/11/2001 10:36:51 PM    None;                   2  Yes
CHG:CHG-ListGroupsOpenChgns03   CHG:Change                       1/11/2001 10:36:51 PM    None;                   3  Yes
CHG:CHG-ListGroupsOpenChgns04   CHG:Change                       1/11/2001 10:36:51 PM    None;                   4  Yes
CHG:CHG-ListMyOpen              CHG:Change                       1/11/2001 10:36:51 PM    None;                   0  Yes
CHG:CHG-ListReqOpenButton01     CHG:Change                       1/11/2001 10:36:52 PM    Button;                 1  Yes
CHG:CHG-ListReqReslvButton01    CHG:Change                       1/11/2001 10:36:52 PM    Button;                 1  Yes
CHG:CHG-ListRequestersOpen01    CHG:Change                       1/11/2001 10:36:52 PM    None;                   1  Yes
CHG:CHG-ListRequestersOpen02    CHG:Change                       1/11/2001 10:36:52 PM    None;                   2  Yes
CHG:CHG-ListSimilar01           CHG:Change                       1/11/2001 10:36:52 PM    None;                   1  Yes
CHG:CHG-ListSimilar02           CHG:Change                       1/11/2001 10:36:52 PM    None;                   2  Yes
CHG:CHG-ListSimilar03           CHG:Change                       1/11/2001 10:36:52 PM    None;                   3  Yes
CHG:CHG-ListTasksButton00       CHG:Change                       1/11/2001 10:36:52 PM    Window Open;            0  No 
CHG:CHG-ListTasksButton01       CHG:Change                       1/11/2001 10:36:52 PM    Button;                 1  No 
CHG:CHG-ListTasksButton02       CHG:Change                       1/11/2001 10:36:52 PM    Button;                 2  No 
CHG:CHG-ListTasksButton02b      CHG:Change                       1/11/2001 10:36:52 PM    Window Open; Button   102  No 
CHG:CHG-ListTasksDisplay01      CHG:Change                       1/11/2001 10:36:52 PM    Display;                5  No 
CHG:CHG-ListTasksDisplay02      CHG:Change                       1/11/2001 10:36:52 PM    Display;                6  No 
CHG:CHG-ListTasksDisplay02else  CHG:Change                       1/11/2001 10:36:52 PM    Display;                6  No 
CHG:CHG-ListTasksOpenMenu01     CHG:Change                       1/11/2001 10:36:52 PM    None;                   1  Yes
CHG:CHG-ListTasksOpenMenu02     CHG:Change                       1/11/2001 10:36:52 PM    None;                   2  Yes
CHG:CHG-LocalScope              CHG:Change                       1/11/2001 10:36:52 PM    Modify; Submit;         0  Yes
CHG:CHG-modSetUserInfo          CHG:Change                       1/11/2001 10:36:55 PM    Modify; Submit;         0  Yes
CHG:CHG-modSetUserInfo00        CHG:Change                       1/11/2001 10:36:55 PM    None;                  10  Yes
CHG:CHG-modSetUserInfo01        CHG:Change                       1/11/2001 10:36:55 PM    None;                  10  Yes
CHG:CHG-modSetUserInfo02        CHG:Change                       1/11/2001 10:36:55 PM    None;                  11  Yes
CHG:CHG-modSetUserInfo03        CHG:Change                       1/11/2001 10:36:55 PM    None;                  12  Yes
CHG:CHG-modSetUserInfo04        CHG:Change                       1/11/2001 10:36:55 PM    None;                  13  Yes
CHG:CHG-modSetUserInfo05        CHG:Change                       1/11/2001 10:36:55 PM    None;                  14  Yes
CHG:CHG-modSetUserInfo06        CHG:Change                       1/11/2001 10:36:55 PM    None;                  15  Yes
CHG:CHG-NoteAssigned            CHG:Change                       1/11/2001 10:36:52 PM    Window Open;           10  Yes
CHG:CHG-OnClickTabRelatedItems  CHG:Change                       1/11/2001 10:36:52 PM    Gain Focus;             0  Yes
CHG:CHG-OnClickTabSLAs          CHG:Change                       1/11/2001 10:36:52 PM    Gain Focus;             0  Yes
CHG:CHG-OnClickTabTasks         CHG:Change                       1/11/2001 10:36:52 PM    Gain Focus;             0  Yes
CHG:CHG-OnCreateDisableTabs     CHG:Change                       1/11/2001 10:36:52 PM    Window Open;            0  Yes
CHG:CHG-OnDisplaySetTime        CHG:Change                       1/11/2001 10:36:52 PM    Display;                0  Yes
CHG:CHG-OnDisplayShowVIP        CHG:Change                       1/11/2001 10:36:52 PM    Display; Menu Choic   507  Yes
CHG:CHG-OnOpenDisableFields     CHG:Change                       1/11/2001 10:36:52 PM    Window Open;            0  Yes
CHG:CHG-OnOpenDlgAutoFillChgID  CHG:Change                       1/11/2001 10:36:52 PM    Window Open;            0  Yes
CHG:CHG-OnOpenEnCloseBtn        CHG:Change                       1/11/2001 10:36:52 PM    Window Open;           10  Yes
CHG:CHG-OnOpenEnModifyCloseBtn  CHG:Change                       1/11/2001 10:36:52 PM    Window Open;           10  Yes
CHG:CHG-OnOpenEnSaveCloseBtn    CHG:Change                       1/11/2001 10:36:52 PM    Window Open;           10  Yes
CHG:CHG-OnOpenHideBtn           CHG:Change                       1/11/2001 10:36:52 PM    Window Open;            1  Yes
CHG:CHG-OnOpenSetFocusTabGen    CHG:Change                       1/11/2001 10:36:52 PM    Window Open;            1  Yes
CHG:CHG-OnQueryDisableTabs      CHG:Change                       1/11/2001 10:36:53 PM    Window Open;            0  Yes
CHG:CHG-OnRtnLoginName+01       CHG:Change                       1/11/2001 10:36:53 PM    Return;                10  Yes
CHG:CHG-OnRtnLoginName+02       CHG:Change                       1/11/2001 10:36:53 PM    Return;                11  Yes
CHG:CHG-OnRtnLoginName+03       CHG:Change                       1/11/2001 10:36:53 PM    Return;                12  Yes
